LogP,MolWt,TPSA,NumHDonors,NumAcceptors,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,RingCount,MaxPartialCharge,MinAbsEStateIndex,FpDensityMorgan1,SlogP_VSA1,SlogP_VSA2,NumRadicalElectrons
-0.31510000000000016,104.173,20.23,1,1,1.0,7,1,2,0,0.10149348584948223,0.28125,1.2857142857142858,0.0,43.88421257099239,0
-0.4726999999999992,146.19000000000003,89.34,3,3,0.8333333333333334,10,5,4,0,0.3199673002470266,0.5203703703703705,1.5,11.46733495432437,23.662429917853093,0
-1.338429999999999,174.20400000000004,125.21999999999998,5,3,0.6666666666666666,12,7,6,0,0.31996851078193783,0.11213293650793621,1.6666666666666667,16.784123558330702,29.62198448659693,0
-1.4074000000000002,176.124,107.22,4,6,0.5,12,4,6,1,0.3774972341840157,0.6713425925925924,1.5,0.0,45.210229607324194,0
-0.3565999999999998,202.34599999999992,76.1,4,4,1.0,14,6,4,0,-0.003689861499451453,0.7853614215793703,0.5714285714285714,22.100912162337032,39.26853843547545,0
-1.1269999999999996,133.103,100.61999999999999,3,3,0.5,9,4,5,0,0.32057810707028217,0.5324074074074074,1.4444444444444444,5.733667477162185,28.193506194733068,0
-0.8627999999999982,132.16300000000004,89.34,3,3,0.8,9,5,4,0,0.31996817144089923,0.46412037037037024,1.6666666666666667,11.46733495432437,23.66242991785309,0
-1.3362000000000003,146.146,106.41,3,3,0.6,10,5,5,0,0.3199828445702351,0.02129629629629637,1.5,11.46733495432437,23.024853241292025,0
-1.8629999999999982,347.22400000000016,186.07000000000002,5,10,0.5,23,6,12,3,0.4691706850612387,0.14182226975832712,1.3043478260869565,5.733667477162185,64.43769433357717,0
5.660500000000006,278.43600000000004,37.3,1,1,0.6111111111111112,20,1,2,0,0.30283955653219446,0.31912908265225437,0.8,0.0,11.075832682792555,0
-1.6093999999999995,105.093,83.55,3,3,0.6666666666666666,7,4,4,0,0.3223711468486876,0.5046296296296298,1.8571428571428572,5.733667477162185,28.831082871294136,0
0.1514000000000002,149.215,63.31999999999999,2,3,0.8,9,3,3,0,0.31999919762538026,0.5520833333333334,1.8888888888888888,5.733667477162185,29.12629630219871,0
0.3466,181.19099999999997,83.55,3,3,0.2222222222222222,13,4,4,1,0.32031550178849594,0.1598578042328047,1.3846153846153846,5.733667477162185,22.22420090678122,0
5.704700000000008,416.6460000000002,60.69,3,3,0.7777777777777778,30,3,3,3,0.08113023624950191,0.37434594671201815,1.2333333333333334,0.0,33.12856577100241,0
10.403299999999993,568.8860000000005,40.46,2,2,0.45,42,2,2,2,0.07285955867439513,0.005275973136635859,0.7142857142857143,0.0,22.420987565178017,0
-0.8083999999999987,240.30599999999998,126.64000000000001,4,6,0.6666666666666666,14,6,6,0,0.32086494202186566,0.2285109599395314,1.0,11.46733495432437,45.741054237374605,0
-0.06420000000000003,118.088,74.6,2,2,0.5,8,2,4,0,0.30343248908825177,0.2962962962962965,1.0,0.0,22.15166536558511,0
-1.7235599999999989,376.3690000000001,161.56,5,9,0.4117647058823529,27,5,10,3,0.34944760044401535,0.05162840136054392,1.0740740740740742,11.24901029325548,64.86392591775362,0
-3.2349999999999994,221.20899999999997,127.09,5,6,0.75,15,5,7,0,0.21703393897661724,0.23549697656840496,1.3333333333333333,5.316788604006331,63.580071788749656,0
-0.7368999999999997,147.13,100.61999999999999,3,3,0.6,10,4,5,0,0.3199840300766228,0.02314814814814814,1.4,5.733667477162185,28.193506194733068,0
